lawgroupeventtypeid	lawgroup	eventtype
1	1	2
2	2	2
3	3	2
4	4	2
5	5	2
6	6	34
7	6	36
8	7	9
9	8	49
10	9	2
11	9	9
12	10	2
13	11	2
14	12	2
15	14	2
16	15	5
17	15	9
18	15	34
19	16	49
20	17	49
21	18	31
22	19	21
25	22	2
27	24	2
29	26	2
31	28	9
32	28	34
33	29	34
34	31	4
36	34	49
37	35	2
38	36	2
40	38	2
41	39	2
42	40	2
43	41	2
47	43	2
48	44	9
50	47	2
55	52	23
56	52	24
57	53	30
61	56	2
63	58	2
65	60	9
66	61	9
67	62	9
69	64	9
70	65	11
71	66	11
72	67	11
73	68	11
74	69	11
75	70	2
76	71	2
78	73	2
80	75	2
82	78	2
84	80	54
86	82	4
87	83	2
88	84	4
89	85	36
92	88	2
93	88	4
94	88	36
95	91	2
96	92	2
97	93	2
98	94	4
99	95	2
100	96	2
101	97	23
102	97	24
103	98	23
104	98	24
106	100	9
107	102	2
108	103	23
109	103	24
110	104	21
111	105	21
112	105	48
113	106	2
114	107	2
115	108	4
116	109	4
117	110	2
118	111	4
119	112	4
120	113	2
121	114	2
122	115	2
123	116	2
124	117	30
125	118	30
126	119	30
127	120	30
129	122	36
130	123	36
131	124	36
134	129	4
135	130	4
136	131	4
138	133	4
139	134	2
140	134	4
141	135	36
142	137	34
143	138	9
144	139	6
145	140	2
146	141	24
147	142	49
149	144	2
151	146	2
153	148	2
154	149	2
157	152	2
160	155	2
161	156	2
162	157	2
163	158	2
165	160	2
171	166	4
174	169	4
175	170	4
176	171	4
179	174	9
180	175	9
181	176	9
182	177	9
186	181	9
187	182	9
189	184	9
191	186	10
195	190	10
201	195	31
202	196	31
203	197	31
206	200	30
207	201	30
209	203	30
211	205	30
212	206	34
213	207	34
214	208	34
215	209	34
216	210	34
218	212	34
220	214	35
222	216	35
224	218	35
230	226	49
237	233	55
238	234	55
287	275	60
288	276	30
289	277	63
295	292	2
296	293	2
297	294	2
298	295	9
410	414	2
411	414	9
412	415	91
413	417	89
415	419	2
416	419	4
417	420	4
418	421	48
419	422	2
420	422	9
427	429	2
428	429	4
430	431	90
437	437	36
438	438	2
439	439	30
440	440	36
441	441	31
442	442	31
443	443	31
444	444	4
445	445	30
446	446	4
447	447	4
448	448	2
449	449	2
450	450	9
451	451	2
452	452	4
453	453	9
454	454	33
455	455	36
456	456	9
457	457	30
458	457	31
459	458	49
460	459	49
461	461	63
462	462	4
463	463	49
468	467	34
