recordingofficetypeid	recordingofficetypelevel	recordingofficetypeshort	recordingofficetypelong	recordingofficetypedivision	recordingofficetypeisaftergovernment	abbreviationverified
3	2	Sec'y.St.Corp.Bur.	Secretary of the Commonwealth	Bureau of Corporations and Charitable Organization	f	f
5	3	Clk.Jud.Rec.Rec.Dd.Div.	Clerk of Judicial Records	Recorder of Deeds Division	f	f
10	3	Cty.Clk.	County Clerk		f	f
12	3	Dep't.Real.Est.	Department of Real Estate		f	f
13	3	Dep't.Rec.	Department of Records		f	f
17	3	Rec.Dd.	Recorder of Deeds		f	f
19	3	Reg.Dd.	Register of Deeds		f	f
21	2	Sec'y.St.	Secretary of State		f	f
22	2	Sec'y.St.	Secretary of the Commonwealth		f	f
23	2	St.Arc.	State Archives		f	f
24	2	St.Arc. Lan	State Archives	Land Records	f	f
27	2	Sec'y.St.Comm'n.	Secretary of the Commonwealth	Bureau of Commissions, Elections, and Legislation	f	f
28	2	Reg.Propr.	Registrar of the Proprietors		f	f
29	1	Clk.Crown.Ch.	Clerk of the Crown in Chancery		f	f
