sourceitemcategoryid	sourceitemcategoryshort	sourceitemcategorydomain
1	Census Bureau	www.census.gov
2	Census Bureau	www2.census.gov
3	Google Books	books.google.com
4	HathiTrust	hdl.handle.net
5	Internet Archive	archive.org
6	LOC	hdl.loc.gov
7	LOC	www.loc.gov
10	Municipality	www.rosenet.org
11	NARA	catalog.archives.gov
12	NYPL	digitalcollections.nypl.org
14	State	delaware.contentdm.oclc.org
15	State	delcode.delaware.gov
19	State	njgin.state.nj.us
20	State	www.njstatelib.org
22	State	www.phmc.state.pa.us
23	State	www.state.nj.us
24	University	digital.lib.lehigh.edu
25	University	historicpittsburgh.org
26	University	njlaw.rutgers.edu
27	USA	www.govinfo.gov
28	USA	www.nan.usace.army.mil
30	State	www.njleg.state.nj.us
