tribunalid	government	tribunaltype	tribunaldistrictcircuit	tribunalalternatefilingoffice
3	40	1	W	
5	1	3		
6	40	4		
7	40	5	E	
8	40	5	M	
9	40	5	Wmpt	
10	40	5	Scrtn	
11	40	5	W	
12	40	6	E	
13	40	6	M	
14	40	6	W	
15	2287	7		
16	2288	7		Department of Court Records, Civil/Family Division
17	2289	7		
18	2290	7		
19	2291	7		
20	2292	7		
21	2293	7		
22	2294	7		
23	2295	7		
24	2296	7		
25	2297	7		
29	2301	7		
30	2302	7		
31	2303	7		
32	2304	7		
34	2306	7		
35	2307	7		
36	2308	7		
37	2309	7		Office of Judicial Support, Civil Division
39	2311	7		
40	2312	7		
44	2316	7		
47	2319	7		
49	2321	7		Clerk of Judicial Records, Civil Division
50	2322	7		
51	2323	7		
52	2324	7		
54	2326	7		
55	2327	7		
57	2329	7		
59	2331	7		
60	2332	7		
62	2334	7		Clerk of Court, Civil Division
63	2335	7		
65	2337	7		
68	2340	7		
69	2341	7		
70	2342	7		
71	2343	7		
72	2344	7		
73	2345	7		
77	2349	7		
79	2351	7		
83	2287	8		
85	2289	8		
86	2290	8		
87	2291	8		
88	2292	8		
89	2293	8		
90	2294	8		
91	2295	8		
92	2296	8		
93	2297	8		
96	2300	8		
97	2301	8		
98	2302	8		
102	2306	8		
103	2307	8		
104	2308	8		
105	2309	8		Office of Judicial Support, Criminal Division
107	2311	8		
108	2312	8		
110	2314	8		
111	2315	8		
112	2316	8		
113	2317	8		
114	2318	8		
115	2319	8		
117	2321	8		Clerk of Judicial Records, Criminal Division
118	2322	8		
119	2323	8		
120	2324	8		
121	2325	8		Clerk of Judicial Records, Criminal Division
122	2326	8		
125	2329	8		
127	2331	8		
128	2332	8		
130	2334	8		Clerk of Court, Criminal Division
131	2335	8		
136	2340	8		
137	2341	8		
138	2342	8		
140	2344	8		
142	2346	8		
143	2347	8		
145	2349	8		
146	2350	8		
147	2351	8		
149	2353	8		
151	2287	9		
152	2288	9		Department of Court Records, Civil/Family Division
153	2289	9		
154	2290	9		
155	2291	9		
157	2293	9		
159	2295	9		
160	2296	9		
161	2297	9		
163	2299	9		
164	2300	9		
165	2301	9		
166	2302	9		
167	2303	9		
168	2304	9		
169	2305	9		
170	2306	9		
171	2307	9		
172	2308	9		
173	2309	9		Office of Judicial Support, Civil Division
174	2310	9		
175	2311	9		
178	2314	9		
180	2316	9		
183	2319	9		
184	2320	9		
185	2321	9		Clerk of Judicial Records, Civil Division
186	2322	9		
187	2323	9		
188	2324	9		
189	2325	9		Clerk of Judicial Records, Civil Division
190	2326	9		
191	2327	9		
192	2328	9		
193	2329	9		
194	2330	9		
195	2331	9		
196	2332	9		
198	2334	9		Clerk of Court, Civil Division
200	2336	9		
202	2338	9		
204	2340	9		
205	2341	9		
206	2342	9		
208	2344	9		
210	2346	9		
215	2351	9		
217	2353	9		
287	2288	11		Department of Court Records, Civil/Family Division
288	2297	11		
289	2337	12		
294	2291	13		
319	2316	13		
327	2324	13		
358	2287	14		
359	2288	14		Department of Court Records, Criminal Division
360	2289	14		
361	2290	14		
362	2291	14		
363	2292	14		
364	2293	14		
365	2294	14		
366	2295	14		
367	2296	14		
368	2297	14		
369	2298	14		
370	2299	14		
371	2300	14		
372	2301	14		
373	2302	14		
374	2303	14		
375	2304	14		
376	2305	14		
377	2306	14		
378	2307	14		
379	2308	14		
380	2309	14		Office of Judicial Support, Criminal Division
381	2310	14		
382	2311	14		
383	2312	14		
384	2313	14		
385	2314	14		
386	2315	14		
387	2316	14		
388	2317	14		
389	2318	14		
390	2319	14		
391	2320	14		
392	2321	14		Clerk of Judicial Records, Criminal Division
393	2322	14		
394	2323	14		
395	2324	14		
396	2325	14		Clerk of Judicial Records, Criminal Division
397	2326	14		
398	2327	14		
399	2328	14		
400	2329	14		
401	2330	14		
402	2331	14		
403	2332	14		
404	2333	14		
405	2334	14		Clerk of Court, Criminal Division
406	2335	14		
407	2336	14		
408	2337	14		
409	2338	14		
410	2339	14		
411	2340	14		
412	2341	14		
413	2342	14		
414	2343	14		
415	2344	14		
416	2345	14		
417	2346	14		
418	2347	14		
419	2348	14		
420	2349	14		
421	2350	14		
422	2351	14		
423	2352	14		
424	2353	14		
427	2288	15		Department of Court Records, Wills/Orphans' Court 
429	32	17		
430	32	18		
432	32	20		
434	1818	21		
435	1819	21		
437	1821	21		
441	1825	21		
444	1828	21		
452	1836	21		
454	1817	22		
455	1818	22		
456	1819	22		
457	1820	22		
458	1821	22		
460	1823	22		
461	1824	22		
462	1825	22		
463	1826	22		
464	1827	22		
465	1828	22		
466	1829	22		
467	1830	22		
468	1831	22		
469	1832	22		
470	1833	22		
471	1834	22		
472	1835	22		
473	1836	22		
474	1837	22		
498	1819	24		
500	1821	24		
503	1824	24		
505	1826	24		
509	1830	24		
512	1833	24		
514	1835	24		
521	1821	25		
529	1829	25		
530	1830	25		
531	1831	25		
532	1832	25		
538	1817	26		
539	1818	26		
552	1831	26		
553	1832	26		
558	1837	26		
1343	32	19		
1672	1829	73		
1674	1831	73		
